ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link
5738,Payment received on 15 April 2024 - £500.00,5737,2024-05-14,2024-05-16,,Employment and earnings - Ad hoc payments,4065,Dame Jackie Doyle-Price,True,2024-04-15,,Monetary,for providing an online training session.,500.00,6.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5738
5775,Payment received on 26 April 2024 - £600.00,5774,2024-05-14,2024-05-16,,Employment and earnings - Ad hoc payments,4573,Dr Rosena Allin-Khan,True,2024-04-26,,Monetary,,600.00,5.00,including preparation time,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5775
5776,Payment received on 03 May 2024 - £300.00,5774,2024-05-14,2024-05-16,,Employment and earnings - Ad hoc payments,4573,Dr Rosena Allin-Khan,True,2024-05-03,,Monetary,,300.00,2.50,including preparation time,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5776
5749,"Payment received on 25 March 2024 - £1,000.00",5606,2024-05-15,2024-05-16,,Employment and earnings - Ad hoc payments,4764,Bell Ribeiro-Addy,True,2024-03-25,,Monetary,,1000.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5749
5800,Payment received on 30 April 2024 - £538.00,4387,2024-05-16,2024-05-16,,Employment and earnings - Ad hoc payments,4423,Will Quince,True,2024-04-30,,Monetary,as an annual bounty for competing all competencies and serving for 19 days or more in a 12 month period.,538.00,0.00,no additional hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5800
5725,Payment expected for services on 07 May 2024 - £250.00,3739,2024-05-09,2024-05-13,,Employment and earnings - Ad hoc payments,4814,Jonathan Gullis,False,2024-05-07,,Monetary,,250.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5725
5724,Payment expected for services on 30 April 2024 - £250.00,3739,2024-05-01,2024-05-13,,Employment and earnings - Ad hoc payments,4814,Jonathan Gullis,False,2024-04-30,,Monetary,,250.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5724
5726,Payment received on 01 May 2024 - £665.00,3636,2024-05-08,2024-05-13,,Employment and earnings - Ad hoc payments,4573,Dr Rosena Allin-Khan,True,2024-05-01,,Monetary,,665.00,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5726
5716,Payment expected for services on 11 May 2024 - £108.00,4428,2024-05-13,2024-05-13,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-05-11,,Monetary,for Peterhead v Spartans.,108.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5716
5723,Payment expected for services on 16 April 2024 - £250.00,3739,2024-05-01,2024-05-13,,Employment and earnings - Ad hoc payments,4814,Jonathan Gullis,False,2024-04-16,,Monetary,,250.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5723
5730,"Payment received on 30 April 2024 - £5,000.00",5729,2024-05-13,2024-05-13,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2024-04-30,,Monetary,for legal services provided between 1 and 15 April 2024.,5000.00,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5730
5728,"Payment received on 30 April 2024 - £10,000.00",5727,2024-05-13,2024-05-13,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2024-04-30,,Monetary,for legal services provided between 11 March and 30 April 2024.,10000.00,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5728
5706,Payment expected for services on 04 May 2024 - £108.00,4428,2024-05-10,2024-05-10,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-05-04,,Monetary,for Stirling Albion v Annan Athletic.,108.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5706
5674,"Payment received on 30 April 2024 - £5,054.14",5169,2024-05-08,2024-05-10,,Employment and earnings - Ad hoc payments,4097,Elizabeth Truss,True,2024-04-30,,Monetary,for speaking at the Eisenhower Institute at Gettysburg College.,5054.14,2.00,,True,Eisenhower Institute,False,"157 N Washington St, Gettysburg, PA 17325, USA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5674
5705,"Payment received on 09 May 2024 - £39,996.00",5555,2024-05-10,2024-05-10,,Employment and earnings - Ad hoc payments,4007,Dominic Raab,True,2024-05-09,,Monetary,Paid to Reya Limited.,39996.00,66.00,approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5705
5707,Payment expected for services on 20 April 2024 - £108.00,4428,2024-05-10,2024-05-10,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-04-20,,Monetary,for Stirling Albion v Queen of the South.,108.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5707
5678,"Payment received on 30 April 2024 - £19,321.68",5169,2024-05-08,2024-05-10,,Employment and earnings - Ad hoc payments,4097,Elizabeth Truss,True,2024-04-30,,Monetary,"for speaking at the Young America's Foundation in California. The total is comprised of a payment of £6,317.68 for a speech on 24 April 2024, plus accommodation valued at approximately £3,112 provided for me and a staff member, and flights valued at £9,892.",19321.68,3.00,,True,Young America's Foundation,False,"11480 Commerce Park Drive, Reston, VA 20191-1556, USA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5678
5704,"Payment received on 08 May 2024 - £3,000.00",5193,2024-05-10,2024-05-10,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2024-05-08,,Monetary,for articles.,3000.00,12.00,approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5704
5620,"Payment received on 30 April 2024 - £6,700.00",4697,2024-05-07,2024-05-09,,Employment and earnings - Ad hoc payments,4106,Sir Robert Buckland,True,2024-04-30,,Monetary,as payment for work done as a Barrister at Foundry Chambers.,6700.00,8.00,,True,Farrer & Co,False,"66 Lincoln's Inn Fields, London WC2A 3LH",solicitors' firm,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5620
5585,"Payment received on 11 April 2024 - £25,452.40",3869,2024-05-02,2024-05-09,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2024-04-11,,Monetary,for a speaking engagement.,25452.40,6.00,,True,Chosun Media,False,"30 Sejong-daero 21-gil, Jung-gu, Seoul, South Korea",media company,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5585
5594,"Payment received on 30 April 2024 - £1,000.00",4732,2024-05-02,2024-05-08,,Employment and earnings - Ad hoc payments,3934,George Eustice,True,2024-04-30,,Monetary,"for attending policy discussions on software development relating to tree survival, habitat mapping and associated written advice.",1000.00,4.00,,False,,False,,,True,Paid direct to the recipient by the payer,Other,Penbroath Ltd,https://interests-api.parliament.uk/api/v1/Interests/5594
5677,Payment received on 26 April 2024 - £450.00,4241,2024-05-03,2024-05-08,,Employment and earnings - Ad hoc payments,4737,Dehenna Davison,True,2024-04-26,,Monetary,for being a presenter.,450.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5677
5680,"Payment received on 22 April 2024 - £1,879.87",4545,2024-05-07,2024-05-08,,Employment and earnings - Ad hoc payments,3930,Caroline Lucas,True,2024-04-22,,Monetary,as a third advance payment.,1879.87,0.00,no additional hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5680
5676,Payment received on 22 April 2024 - £100.00,4241,2024-05-03,2024-05-08,,Employment and earnings - Ad hoc payments,4737,Dehenna Davison,True,2024-04-22,,Monetary,for being a presenter.,100.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5676
5595,"Payment received on 26 April 2024 - £4,167.00",4738,2024-05-02,2024-05-08,,Employment and earnings - Ad hoc payments,3934,George Eustice,True,2024-04-26,,Monetary,,4167.00,24.00,,False,,False,,,True,Paid direct to the recipient by the payer,Other,Penbroath Ltd,https://interests-api.parliament.uk/api/v1/Interests/5595
5626,Payment received on 12 April 2024 - £325.00,4791,2024-04-30,2024-05-07,,Employment and earnings - Ad hoc payments,40,Sir Bernard Jenkin,True,2024-04-12,,Monetary,,325.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5626
5628,"Payment received on 25 April 2024 - £29,166.67",4408,2024-05-07,2024-05-07,,Employment and earnings - Ad hoc payments,4099,Sir Jacob Rees-Mogg,True,2024-04-25,,Monetary,,29166.67,40.00,including preparation,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5628
5557,Payment received on 30 April 2024 - £250.00,3680,2024-04-30,2024-05-01,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2024-04-30,,Monetary,for an article published on 6 April 2024.,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5557
5666,"Payment received on 05 April 2023 - £20,000.00",5459,2024-05-01,2024-05-01,,Employment and earnings - Ad hoc payments,140,Baroness Hodge of Barking,True,2023-04-05,,Monetary,,20000.00,114.00,(3 hrs a week for 38 weeks),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5666
5554,Payment expected for services on 27 April 2024 - £450.00,4428,2024-04-30,2024-05-01,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-04-27,,Monetary,for Livingston v Ross County.,450.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5554
5665,"Payment received on 05 April 2022 - £20,000.00",5459,2024-05-01,2024-05-01,,Employment and earnings - Ad hoc payments,140,Baroness Hodge of Barking,True,2022-04-05,,Monetary,,20000.00,114.00,(3 hrs a week for 38 weeks),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5665
5667,"Payment received on 05 April 2024 - £20,000.00",5459,2024-05-01,2024-05-01,,Employment and earnings - Ad hoc payments,140,Baroness Hodge of Barking,True,2024-04-05,,Monetary,,20000.00,114.00,(3 hrs a week for 38 weeks),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5667
5569,Payment received on 30 April 2024 - £504.00,4511,2024-05-01,2024-05-01,,Employment and earnings - Ad hoc payments,4060,Sir Jake Berry,True,2024-04-30,,Monetary,for an Op Ed Article for the Sunday Express.,504.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5569
5578,"Payment received on 26 April 2024 - £5,460.00",3723,2024-04-30,2024-05-01,,Employment and earnings - Ad hoc payments,206,Mr David Lammy,True,2024-04-26,,Monetary,"for shows on 3, 17, 24, 29 and 31 March 2024.",5460.00,22.50,in total including preparation time (4.5 hrs per show),True,Global Radio,False,"30 Leicester Square, London WC2H 7LA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5578
5567,Payment received on 01 May 2024 - £201.55,3833,2024-05-01,2024-05-01,,Employment and earnings - Ad hoc payments,4097,Elizabeth Truss,True,2024-05-01,,Monetary,royalty payments for a book written and published in 2012.,201.55,0.00,no additional hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5567
5561,Payment received on 24 April 2024 - £550.00,5008,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,1428,Sir Bill Wiggin,True,2024-04-24,,Monetary,for an additional day's work.,550.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5561
5549,Payment received on 29 January 2024 - £70.00,3746,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,4754,Peter Gibson,True,2024-01-29,,Monetary,,70.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5549
5550,Payment received on 19 February 2024 - £48.00,3746,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,4754,Peter Gibson,True,2024-02-19,,Monetary,,48.00,0.60,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5550
5562,"Payment received on 26 April 2024 - £3,796.38",5011,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,1428,Sir Bill Wiggin,True,2024-04-26,,Monetary,as a performance related bonus.,3796.38,0.00,no additional hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5562
5542,Payment received on 18 April 2024 - £293.54,4353,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,3991,Jesse Norman,True,2024-04-18,,Monetary,as royalties.,293.54,0.00,no additional hours,True,HarperCollins Publisher,False,"103 Westerhill Road, Bishopsbriggs, Glasgow G64 2QT",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5542
5551,Payment received on 16 April 2024 - £564.00,3746,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,4754,Peter Gibson,True,2024-04-16,,Monetary,,564.00,7.05,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5551
5525,"Payment received on 25 April 2024 - £1,500.00",3871,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,1446,Chris Bryant,True,2024-04-25,,Monetary,for recording a podcast based on my book.,1500.00,4.00,,True,Associated Newspapers,False,"DMG Media Limited, 9 Derry Street, London W8 5HY​",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5525
5541,Payment received on 18 April 2024 - £112.14,4353,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,3991,Jesse Norman,True,2024-04-18,,Monetary,as royalties.,112.14,0.00,no additional hours,True,Everymans Library,False,"50 Albemarle Street, London W1S 4BD",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5541
5552,"Payment received on 26 April 2024 - £5,527.11",5546,2024-04-29,2024-04-29,,Employment and earnings - Ad hoc payments,4070,Matt Hancock,True,2024-04-26,,Monetary,as a royalty payment (book sales).,5527.11,0.00,no additional hours,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/5552
5544,"Payment received on 25 April 2024 - £2,916.67",4226,2024-04-25,2024-04-29,,Employment and earnings - Ad hoc payments,1565,Sir Philip Davies,True,2024-04-25,,Monetary,for being a contributor to nine various programmes.,2916.67,18.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5544
5545,"Payment received on 11 April 2024 - £1,500.00",5193,2024-04-25,2024-04-29,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2024-04-11,,Monetary,for articles.,1500.00,6.00,approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5545
5521,Payment received on 24 April 2024 - £665.00,3636,2024-04-25,2024-04-25,,Employment and earnings - Ad hoc payments,4573,Dr Rosena Allin-Khan,True,2024-04-24,,Monetary,,665.00,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5521
5522,Payment received on 24 April 2024 - £595.00,3636,2024-04-25,2024-04-25,,Employment and earnings - Ad hoc payments,4573,Dr Rosena Allin-Khan,True,2024-04-24,,Monetary,,595.00,9.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5522
5474,Payment received on 18 April 2024 - £500.00,5388,2024-04-25,2024-04-25,,Employment and earnings - Ad hoc payments,4943,Simon Lightwood,True,2024-04-18,,Monetary,,500.00,1.50,,False,,False,,,True,Paid direct to the recipient by the payer,Charity,,https://interests-api.parliament.uk/api/v1/Interests/5474
5463,"Payment received on 22 April 2024 - £6,000.00",3460,2024-04-23,2024-04-24,,Employment and earnings - Ad hoc payments,4060,Sir Jake Berry,True,2024-04-22,,Monetary,for hosting four shows on Talk TV.,6000.00,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5463
5472,Payment expected for services on 17 April 2024 - £150.00,3818,2024-04-24,2024-04-24,,Employment and earnings - Ad hoc payments,4110,Dame Karen Bradley,False,2024-04-17,,Monetary,for a meeting.,150.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5472
5462,"Payment received on 21 February 2024 - £7,200.00",3460,2024-02-23,2024-04-24,2024-04-24,Employment and earnings - Ad hoc payments,4060,Sir Jake Berry,True,2024-02-21,,Monetary,"for hosting six shows on Talk TV, and two panel appearances.",7200.00,20.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5462
5484,"Payment received on 28 March 2024 - £37,500.00",5355,2024-04-24,2024-04-24,,Employment and earnings - Ad hoc payments,435,Lord Brady of Altrincham,True,2024-03-28,,Monetary,as an advance on a book,37500.00,40.00,between January and March 2024,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5484
5475,"Payment received on 23 April 2024 - £2,094.18",3835,2024-04-23,2024-04-24,,Employment and earnings - Ad hoc payments,4479,Nick Thomas-Symonds,True,2024-04-23,,Monetary,(excluding VAT) as royalties for a book.,2094.18,0.00,no additional hours,True,Weidenfeld & Nicolson United Kingdom,False,"Orion Publishing Group, Carmelite House, 50 Victoria Embankment, London EC47 0DZ",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5475
5441,Payment expected for services on 11 April 2024 - £150.00,3946,2024-04-18,2024-04-23,,Employment and earnings - Ad hoc payments,4498,Mr Ranil Jayawardena,False,2024-04-11,,Monetary,,150.00,0.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5441
5444,Payment received on 16 April 2024 - £250.00,3680,2024-04-22,2024-04-23,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2024-04-16,,Monetary,for an article.,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5444
5338,Payment received on 12 April 1994 - £150.00,4515,2024-04-16,2024-04-19,,Employment and earnings - Ad hoc payments,4088,Ms Stella Creasy,True,1994-04-12,,Monetary,for an article written in April 2024.,150.00,2.00,,False,,False,,,True,Donated by the Member to the recipient,Other,Fee allocated to my staffing budget.,https://interests-api.parliament.uk/api/v1/Interests/5338
5321,Payment received on 04 April 2024 - £461.00,5320,2024-04-16,2024-04-19,,Employment and earnings - Ad hoc payments,4040,Chris Evans,True,2024-04-04,,Monetary,,461.00,0.00,,True,Bloomsbury,False,"Bloomsbury Publishing PLC. 50 Bedford Square, London, WC1B",Publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5321
5379,"Payment received on 26 March 2024 - £3,150.00",3723,2024-04-17,2024-04-18,,Employment and earnings - Ad hoc payments,206,Mr David Lammy,True,2024-03-26,,Monetary,"for shows on 4, 18 and 25 February 2024.",3150.00,13.50,including preparation time (4.5 hrs per show),True,Global Radio,False,"30 Leicester Square, London WC2H 7LA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5379
5376,"Payment received on 04 April 2024 - £12,300.00",4365,2024-04-16,2024-04-18,,Employment and earnings - Ad hoc payments,4370,Jess Phillips,True,2024-04-04,,Monetary,as an advance payment for writing a book.,12300.00,100.00,(estimated at around five hours a week over twenty weeks),True,Simon & Schuster UK,False,"1st Floor, 222 Gray's Inn Road, London WC1X 8HB",publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5376
5329,Payment received on 22 March 2024 - £430.00,4482,2024-04-16,2024-04-18,,Employment and earnings - Ad hoc payments,4370,Jess Phillips,True,2024-03-22,,Monetary,as copyright fees for borrowing of my books,430.00,0.00,no extra hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5329
5326,Payment received on 11 April 2024 - £725.21,4353,2024-04-15,2024-04-15,,Employment and earnings - Ad hoc payments,3991,Jesse Norman,True,2024-04-11,,Monetary,as royalties.,725.21,0.00,no additional hours,True,Penguin Books Ltd,False,"20 Vauxhall Bridge Rd, London SW1V 2SA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5326
4915,"Payment received on 29 February 2024 - £5,000.00",4172,2024-03-20,2024-04-15,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2024-02-29,,Monetary,(no VAT) for legal services provided between 1 February 2024 and 29 February 2024,5000.00,5.00,approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4915
5327,Payment received on 11 April 2024 - £563.78,4353,2024-04-15,2024-04-15,,Employment and earnings - Ad hoc payments,3991,Jesse Norman,True,2024-04-11,,Monetary,as royalties.,563.78,0.00,no additional hours,True,Citic Publishing House,False,"8-10F Block 2 Fusheng Bldg A4 Huixin East Street Beijing, 100029 China",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5327
5059,Payment expected for services on 30 March 2024 - £108.00,4428,2024-04-15,2024-04-15,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-03-30,,Monetary,for Montrose v Falkirk.,108.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5059
5377,Payment received on 07 March 2024 - £354.28,4375,2024-03-19,2024-04-15,,Employment and earnings - Ad hoc payments,4370,Jess Phillips,True,2024-03-07,,Monetary,,354.28,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5377
5409,"Payment received on 15 February 2024 - £12,750.00",5136,2024-03-20,2024-04-15,,Employment and earnings - Ad hoc payments,1539,Mr Ben Wallace,True,2024-02-15,,Monetary,for a speaking event on 24 January 2024.,12750.00,1.00,,True,Pictet (London) Limited,False,"1 More London Place, London SE1 2AF",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5409
5292,Payment expected for services on 13 April 2024 - £450.00,4428,2024-04-15,2024-04-15,,Employment and earnings - Ad hoc payments,4627,Douglas Ross,False,2024-04-13,,Monetary,for Motherwell v Hibs.,450.00,1.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5292
5299,"Payment received on 03 April 2024 - £1,000.00",5298,2024-04-15,2024-04-15,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2024-04-03,,Monetary,for an article.,1000.00,3.00,(estimated),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5299
5407,Payment received on 19 March 2024 - £250.00,3680,2024-03-20,2024-04-15,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2024-03-19,,Monetary,for an article.,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5407
5203,"Payment received on 29 February 2024 - £1,000.00",4732,2024-04-12,2024-04-14,,Employment and earnings - Ad hoc payments,3934,George Eustice,True,2024-02-29,,Monetary,for attending several policy discussions on the use of digital tools to monitor survival rates in trees and associated written advice.,1000.00,4.00,,False,,False,,,True,Paid direct to the recipient by the payer,Other,Penbroath Ltd,https://interests-api.parliament.uk/api/v1/Interests/5203
5279,"Payment received on 28 March 2024 - £1,000.00",4732,2024-04-12,2024-04-14,,Employment and earnings - Ad hoc payments,3934,George Eustice,True,2024-03-28,,Monetary,for attending several policy discussions on the use of digital tools to monitor survival rates in trees and associated written advice.,1000.00,4.00,,False,,False,,,True,Paid direct to the recipient by the payer,Other,Penbroath Ltd,https://interests-api.parliament.uk/api/v1/Interests/5279
